name,parent,score
Bacillus halodurans,Node 182, 
Bacillus pseudofirmus,Node 182, 
Bacillus clausii,Node 183, 
 selenitireducens,Node 184, 
Exiguobacterium sibiricum,Node 186, 
Oceanobacillus iheyensis,Node 187, 
Node 197,Node 198,0.024621212121212124
Node 196,Node 197,0.01916666666666667
Node 191,Node 196,0.03799019607843137
Bacillus megaterium,Node 191, 
Node 190,Node 191,0.029166666666666664
Node 189,Node 190,0.029166666666666664
Node 188,Node 189,0.024621212121212124
Bacillus cereus,Node 188, 
Bacillus anthracis,Node 188, 
Bacillus thuringiensis,Node 189, 
Bacillus weihenstephanensis,Node 190, 
Node 195,Node 196,0.024621212121212124
Bacillus pumilus,Node 195, 
Node 194,Node 195,0.034722222222222224
Node 192,Node 194,0.0625
Bacillus vallismortis,Node 192, 
Bacillus atrophaeus,Node 192, 
Node 193,Node 194,0.03799019607843137
Bacillus subtilis,Node 193, 
Bacillus amyloliquefaciens,Node 193, 
Bacillus coagulans,Node 197, 
Node 200,Node 201,0.0625
Planococcus antarcticus,Node 200, 
Alicyclobacillus acidocaldarius,Node 200, 
Bacillus methanolicus,Node 200, 
Brevibacillus parabrevis,Node 202, 
Brevibacillus texasporus,Node 203, 
Saccharococcus thermophilus,Node 204, 
Node 211,Node 212,0.09027777777777778
Node 210,Node 211,0.10416666666666667
Paenibacillus lactis,Node 210, 
Node 209,Node 210,0.10416666666666667
Node 208,Node 209,0.07007575757575758
Node 207,Node 208,0.07007575757575758
Paenibacillus elgii,Node 207, 
Node 206,Node 207,0.07007575757575758
Paenibacillus dendritiformis,Node 206, 
Node 205,Node 206,0.07007575757575758
Paenibacillus polymyxa,Node 205, 
Paenibacillus sanguinis,Node 205, 
Brevibacillus laterosporus,Node 208, 
Paenibacillus terrae,Node 209, 
Paenibacillus curdlanolyticus,Node 211, 
Paenibacillus apiarius,Node 213, 
Weissella viridescens,Node 214, 
Aerococcus sanguinicola,Node 215, 
Aneurinibacillus migulanus,Node 216, 
Aneurinibacillus aneurinilyticus,Node 217, 
Node 218,Node 219,0.0625
Bacillus circulans,Node 218, 
Kurthia zopfii,Node 218, 
Gemella sanguinis,Node 220, 
Caldalkalibacillus thermarum,Node 221, 
Exiguobacterium antarcticum,Node 222, 
Parageobacillus toebii,Node 223, 
Leuconostoc fallax,Node 224, 
Atopostipes suicloacalis,Node 225, 
Weissella confusa,Node 226, 
Weissella thailandensis,Node 227, 
