name,parent,score
Favia fragum,Node 139, 
Favia gravida,Node 139, 
Favia leptophylla,Node 141, 
Mussismilia hispida,Node 142, 
Mussismilia harttii,Node 144, 
Node 148,Node 149,0
Node 147,Node 148,0
Isophyllia sinuosa,Node 147, 
Node 146,Node 147,0
Node 145,Node 146,0
Mycetophyllia lamarckiana,Node 145, 
Mycetophyllia aliciae,Node 145, 
Scolymia cubensis,Node 146, 
Mussa angulosa,Node 148, 
Node 158,Node 159,0
Node 156,Node 158,0
Node 153,Node 156,0
Cynarina lacrymalis,Node 153, 
Node 152,Node 153,0
Node 151,Node 152,0
Node 150,Node 151,0
Symphyllia agaricia,Node 150, 
Symphyllia recta,Node 150, 
Symphyllia radians,Node 151, 
Lobophyllia pachysepta,Node 152, 
Lobophyllia corymbosa,Node 152, 
Lobophyllia hemprichii,Node 152, 
Lobophyllia hataii,Node 152, 
Node 155,Node 156,0
Node 154,Node 155,0
Echinophyllia echinata,Node 154, 
Echinophyllia aspera,Node 154, 
Echinophyllia echinoporoides,Node 154, 
Echinophyllia orpheensis,Node 154, 
Oxypora lacera,Node 155, 
Node 157,Node 158,0
Acanthastrea hillae,Node 157, 
Micromussa amakusensis,Node 157, 
Node 215,Node 216,0
Node 214,Node 215,0
Node 210,Node 214,0
Node 189,Node 210,0
Node 186,Node 189,0
Node 183,Node 186,0
Node 180,Node 183,0
Node 165,Node 180,0
Node 163,Node 165,0
Node 160,Node 163,0
Merulina ampliata,Node 160, 
Merulina scabricula,Node 160, 
Node 162,Node 163,0
Node 161,Node 162,0
Goniastrea pectinata,Node 161, 
Goniastrea favulus,Node 161, 
Goniastrea edwardsi,Node 162, 
Node 164,Node 165,0
Leptoria irregularis,Node 164, 
Scapophyllia cylindrica,Node 164, 
Node 179,Node 180,0
Node 174,Node 179,0
Node 173,Node 174,0
Goniastrea palauensis,Node 173, 
Node 172,Node 173,0
Node 171,Node 172,0
Node 170,Node 171,0
Node 168,Node 170,0
Node 167,Node 168,0
Phymastrea valenciennesi,Node 167, 
Node 166,Node 167,0
Favia speciosa,Node 166, 
Barabattoia amicorum,Node 166, 
Favia favus,Node 168, 
Node 169,Node 170,0
Favia danae,Node 169, 
Favia matthaii,Node 169, 
Favia pallida,Node 171, 
Favia rotumana,Node 172, 
Favia lizardensis,Node 174, 
Node 178,Node 179,0
Node 176,Node 178,0
Caulastraea furcata,Node 176, 
Node 175,Node 176,0
Oulophyllia crispa,Node 175, 
Oulophyllia bennettae,Node 175, 
Node 177,Node 178,0
Mycedium elephantotus,Node 177, 
Pectinia paeonia,Node 177, 
Pectinia alcicornis,Node 177, 
Node 182,Node 183,0
Node 181,Node 182,0
Echinopora gemmacea,Node 181, 
Echinopora lamellosa,Node 181, 
Echinopora forskaliana,Node 182, 
Node 185,Node 186,0
Node 184,Node 185,0
Goniastrea retiformis,Node 184, 
Favia stelligera,Node 184, 
Phymastrea curta,Node 185, 
Node 188,Node 189,0
Node 187,Node 188,0
Montastraea faveolata,Node 187, 
Montastraea annularis,Node 187, 
Montastraea franksi,Node 188, 
Node 209,Node 210,0
Node 204,Node 209,0
Node 202,Node 204,0
Node 193,Node 202,0
Node 191,Node 193,0
Favia helianthoides,Node 191, 
Node 190,Node 191,0
Echinopora pacificus,Node 190, 
Favites pentagona,Node 190, 
Node 192,Node 193,0
Favites complanata,Node 192, 
Acanthastrea echinata,Node 192, 
Node 201,Node 202,0
Node 196,Node 201,0
Cyphastrea ocellina,Node 196, 
Cyphastrea japonica,Node 196, 
Node 195,Node 196,0
Node 194,Node 195,0
Cyphastrea microphthalma,Node 194, 
Cyphastrea chalcidicum,Node 194, 
Cyphastrea serailia,Node 195, 
Node 200,Node 201,0
Node 199,Node 200,0
Node 198,Node 199,0
Node 197,Node 198,0
Platygyra pini,Node 197, 
Platygyra sinensis,Node 197, 
Platygyra lamellina,Node 198, 
Platygyra daedalea,Node 199, 
Leptoria phrygia,Node 200, 
Node 203,Node 204,0
Trachyphyllia geoffroyi,Node 203, 
Favia maxima,Node 203, 
Node 208,Node 209,0
Node 205,Node 208,0
Hydnophora rigida,Node 205, 
Hydnophora grandis,Node 205, 
Hydnophora exesa,Node 205, 
Node 207,Node 208,0
Node 206,Node 207,0
Favites paraflexuosa,Node 206, 
Favites chinensis,Node 206, 
Catalaphyllia jardinei,Node 207, 
