Id,Label,weight,Degree,Weighted Degree,Modularity Class,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality
S205,S205,,17,173.0,0,1.1237844081156162E-4,4.0,2.449974476773864,1.5922204195494265
S178,S178,,19,81.0,0,1.1888811936837612E-4,4.0,2.452016334864727,1.1093904690354048
S1964,S1964,,19,456.0,0,1.2193824662586906E-4,4.0,2.4591628381827464,0.16026280975481141
S1166,S1166,,20,449.0,0,1.2707989939891322E-4,4.0,2.458141909137315,0.2782951643970732
S11828,S11828,,11,162.0,0,8.802839439602419E-5,4.0,2.492087799897907,0.0
S1083,S1083,,14,496.0,0,1.0439656668575607E-4,4.0,2.5020418580908625,1.722320139181079
S1333,S1333,,14,844.0,0,1.0439656668575607E-4,4.0,2.5020418580908625,1.722320139181079
S1115,S1115,,7,337.0,1,9.543541198263343E-5,5.0,2.90684022460439,38.3052051969237
S10667,S10667,,11,218.0,5,1.2196909814522297E-4,4.0,2.818274629913221,149.03196695283384
S10528,S10528,,4,62.0,1,7.976200683449018E-5,5.0,3.220775906074528,0.0
S11978,S11978,,4,47.0,1,7.976200683449018E-5,5.0,3.220775906074528,0.0
S114,S114,,8,10.0,0,8.416316131724095E-5,4.0,2.7320061255742725,0.0
S1085,S1085,,11,213.0,0,1.0031976855797747E-4,4.0,2.787646758550281,0.045454545454545456
S11863,S11863,,9,390.0,0,9.713472267432786E-5,4.0,2.7881572230729965,1.3006411160750206
S2085,S2085,,10,636.0,0,9.856757122529368E-5,4.0,2.795048494129658,0.06666666666666667
S12145,S12145,,10,14.0,4,6.40409627651892E-5,5.0,2.9315977539561002,0.0
S2008,S2008,,5,5.0,1,5.5088023881025966E-5,5.0,2.8496681980602347,0.0
S1055,S1055,,7,36.0,4,8.98028161493198E-5,5.0,2.8843797856049003,2.397506097291673
S740,S740,,9,64.0,4,1.0144247893242269E-4,5.0,2.8828483920367534,7.345951158192726
S952,S952,,7,161.0,4,9.792950044346076E-5,5.0,2.998723838693211,2.754820302228623
S1122,S1122,,7,53.0,4,9.717216242505906E-5,5.0,2.8843797856049003,3.783559744118446
S188,S188,,16,47.0,5,1.0396808673330078E-4,5.0,2.777692700357325,0.0488095238095238
S9943,S9943,,9,60.0,1,1.3290185019015698E-4,5.0,2.855283307810107,1093.6430842236496
S12861,S12861,,11,311.0,6,7.308636233716374E-5,5.0,2.616641143440531,0.0
S12336,S12336,,9,149.0,1,1.32901850190157E-4,5.0,2.855283307810107,1093.6430842236496
S1472,S1472,,20,161.0,1,1.5131295102666274E-4,5.0,2.532669729453803,2325.7820579763234
S1217,S1217,,3,83.0,0,5.4067945884410906E-5,5.0,3.071720265441552,0.0
S1154,S1154,,11,54.0,0,8.113223836663777E-5,5.0,2.5446656457376213,0.21477591036414567
S868,S868,,26,459.0,0,1.4512421086944506E-4,5.0,2.454823889739663,53.0420234031893
S274,S274,,16,75.0,0,9.738935695987301E-5,5.0,2.499744767738642,4.002835300972281
S1168,S1168,,36,509.0,0,1.964215985383504E-4,5.0,2.452271567126085,129.57308233985148
S1661,S1661,,37,295.0,0,1.9212722401234922E-4,5.0,2.4310872894333846,175.64845046727567
S12122,S12122,,28,1065.0,5,1.749027883860036E-4,4.0,2.4002041858090863,1077.4426866794925
S12008,S12008,,38,467.0,0,1.8501509861645172E-4,5.0,2.44691168963757,96.3175727002556
S1114,S1114,,15,107.0,0,9.535481767635055E-5,5.0,2.51531393568147,1.9471394561927344
S785,S785,,7,15.0,0,5.9183988000989316E-5,5.0,2.606687085247575,0.08631211857018309
S1593,S1593,,9,96.0,5,6.988384257575616E-5,5.0,2.8131699846860645,0.0
S1656,S1656,,32,777.0,0,1.6138757617517398E-4,5.0,2.4504849412965797,61.23477620690693
S13635,S13635,,16,274.0,0,9.54848995870788E-5,5.0,2.54364471669219,0.7277252441045544
S364,S364,,39,1112.0,0,1.9686349674396565E-4,5.0,2.442572741194487,147.54230395183168
S555,S555,,13,105.0,0,7.986660582107386E-5,5.0,2.632210311383359,1.9589409641810496
S1662,S1662,,9,126.0,8,9.349592351270923E-5,5.0,2.9351710056151097,15.028836891136391
